datetime,value
05-11-2020 08:15,0.015
05-11-2020 08:30,0.024
05-11-2020 08:45,0.011
05-11-2020 09:00,0.016
05-11-2020 09:15,0.023
05-11-2020 09:30,0.009
05-11-2020 09:45,0.017
05-11-2020 10:00,0.022
05-11-2020 10:15,0.009
05-11-2020 10:30,0.017
05-11-2020 10:45,0.022
05-11-2020 11:00,0.009
05-11-2020 11:15,0.064
05-11-2020 11:30,0.025
05-11-2020 11:45,0.075
05-11-2020 12:00,0.194
05-11-2020 12:15,0.197
05-11-2020 12:30,0.184
05-11-2020 12:45,0.195
05-11-2020 13:00,0.197
05-11-2020 13:15,0.182
05-11-2020 13:30,0.195
05-11-2020 13:45,0.086
05-11-2020 14:00,0.009
05-11-2020 14:15,0.016
05-11-2020 14:30,0.022
05-11-2020 14:45,0.011
05-11-2020 15:00,0.024
05-11-2020 15:15,0.024
05-11-2020 15:30,0.015
05-11-2020 15:45,0.035
05-11-2020 16:00,0.057
05-11-2020 16:15,0.037
05-11-2020 16:30,0.054
05-11-2020 16:45,0.047
05-11-2020 17:00,0.039
05-11-2020 17:15,0.055
05-11-2020 17:30,0.043
05-11-2020 17:45,0.02
05-11-2020 18:00,0.026
05-11-2020 18:15,0.018
05-11-2020 18:30,0.014
05-11-2020 18:45,0.026
05-11-2020 19:00,0.02
05-11-2020 19:15,0.039
05-11-2020 19:30,0.055
05-11-2020 19:45,0.036
05-11-2020 20:00,0.055
05-11-2020 20:15,0.046
05-11-2020 20:30,0.07
05-11-2020 20:45,0.054
05-11-2020 21:00,0.058
05-11-2020 21:15,0.044
05-11-2020 21:30,0.066
05-11-2020 21:45,0.051
05-11-2020 22:00,0.071
05-11-2020 22:15,0.068
05-11-2020 22:30,0.065
05-11-2020 22:45,0.064
05-11-2020 23:00,0.042
05-11-2020 23:15,0.068
05-11-2020 23:30,0.022
05-11-2020 23:45,0.043
06-11-2020 00:00,0.026
06-11-2020 00:15,0.033
06-11-2020 00:30,0.035
06-11-2020 00:45,0.023
06-11-2020 01:00,0.042
06-11-2020 01:15,0.024
06-11-2020 01:30,0.033
06-11-2020 01:45,0.035
06-11-2020 02:00,0.021
06-11-2020 02:15,0.041
06-11-2020 02:30,0.027
06-11-2020 02:45,0.028
06-11-2020 03:00,0.04
06-11-2020 03:15,0.02
06-11-2020 03:30,0.025
06-11-2020 03:45,0.021
06-11-2020 04:00,0.009
06-11-2020 04:15,0.028
06-11-2020 04:30,0.016
06-11-2020 04:45,0.013
06-11-2020 05:00,0.027
06-11-2020 05:15,0.011
06-11-2020 05:30,0.018
06-11-2020 05:45,0.025
06-11-2020 06:00,0.009
06-11-2020 06:15,0.02
06-11-2020 06:30,0.024
06-11-2020 06:45,0.008
06-11-2020 07:00,0.021
06-11-2020 07:15,0.022
06-11-2020 07:30,0.008
06-11-2020 07:45,0.023
